sID(1);CNAP Name(2);CNAP Address(3);WorkTime(4);phone(5)
21;ЦНАП Широківської РДА;53700, Дніпропетровська обл., смт. Широке, вул. Леніна, 107;<p>Понеділок, середа з 8.00 до 20.00<br />Вівторок, четвер з 8.00 до 17.00<br />П'ятниця з 8.00 до 15.45<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (05657) 29362
22;ЦНАП Юр`ївської РДА;51300, Дніпропетровська обл., смт. Юр’ївка, вул.Леніна,114;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05635) 51701
23;ЦНАП Дніпропетровської міськради Правобережний;49000, Дніпропетровська обл., м. Дніпропетровськ, просп. Карла Маркса, 75;<p>Понеділок, середа з 9.00 до 18.00<br />Вівторок, четвер з 9.00 до 20.00<br />П'ятниця з 9.00 до 16.45<br />Субота з 10.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (056) 745-52-19
24;ЦНАП Дніпропетровської міськради Лівобережний;49051, Дніпропетровська обл., м. Дніпропетровськ, просп. Газети "Правда", 42;<p>Понеділок, середа з 9.00 до 18.00<br />Вівторок, четвер з 9.00 до 20.00<br />П'ятниця з 9.00 до 16.45<br />Субота з 10.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (056) 726-30-69
25;ЦНАП Вільногірської міськради;51700, Дніпропетровська обл., м. Вільногірськ, вул.Варена, 15;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05653) 5-15-14, (05653) 5-15-86, (05653) 5-28-03
26;ЦНАП Дніпродзержинської міськради;51900, Дніпропетровська обл., м.Дніпродзержинськ, Комсомольський пр.10/12;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />Субота з 9.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05692) 26150, (05692) 27303 
27;ЦНАП Жовтоводської міськради;52204, Дніпропетровська обл., м.Жовті Води, вул. Петровського, 33;<p>Понеділок, середа з 8.00 до 17.15<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця,субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (05652) 24737,(05652) 23285 
28;ЦНАП Криворізької міськради;50101, Дніпропетровська обл., м. Кривий Ріг, пл.Радянська, 1;<p>Понеділок, середа, п'ятниця з 8.30 до 17.00<br />Вівторок, четвер з 8.30 до 20.00<br />Субота з 8.30 до 17.00<br />Вихідний - Неділя</p>;Телефон: (0564) 92-13-77, 74-02-10, 92-13-61
29;ЦНАП Марганецької міськради;53400, Дніпропетровська обл., м.Марганець, вул.Радянська, 29-а;<p>Понеділок, середа з 8.00 до 18.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця з 8.00 до 17.00<br />Субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: mn-centr@i.ua
30;ЦНАП Нікопольської міськради;53213, Дніпропетровська обл., м. Нікополь, вул.Електрометалургів, 3;<p>Понеділок, середа з 9.00 до 18.00<br />Вівторок, четвер з 9.00 до 20.00<br />П'ятниця з 9.00 до 16.45<br />Субота з 9.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05662) 5-15-36
31;ЦНАП Новомосковської міськради;51200, Днірпопетровська обл., м. Новомосковськ, вул. Червоноармійська, 1;<p>Понеділок, четвер, з 8.00 до 17.15<br />Вівторок, середа з 8.00 до 20.00<br />П'ятниця з 8.00 до 16.00<br />Субота з 8.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (05693) 7-12-57, 7-98-33, 7-81-06 
32;ЦНАП Орджонікідзевської міськради;53300, Дніпропетровська обл., м. Орджонікідзе, вул. Калініна, 48;<p>Понеділок, середа, п'ятниця з 9.00 до 16.00<br />Вівторок, четвер з 9.00 до 20.00<br />Субота з 9.00 до 15.00<br />Вихідний - Неділя</p>;Телефон: (05667) 4-30-35
33;ЦНАП Павлоградської міськради;51400, Дніпропетровська обл., м. Павлоград, вул.Шевченка, 132;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця, субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05632) 6-35-86, (05632) 6-48-72
34;ЦНАП Першотравенської міськради;52800, Дніпропетровська обл., м. Першотравенськ, вул. Шкільна, 20;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br />Вівторок, четвер з 13.00 до 20.00<br />Субота з 9.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05633) 7-10-65
35;ЦНАП Синельниківської міськради;52500, Дніпропетровська обл., м. Синельникове, вул. Богми, 3а;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 8.00 до 20.00<br />П'ятниця, субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05663) 40081 
36;ЦНАП Тернівської міськради;51500, Дніпропетровська обл., м. Тернівка, вул.І.Петрова, 13;<p>Понеділок, середа з 8.00 до 17.00<br />Вівторок, четвер з 12.00 до 20.00<br />П'ятниця, субота з 8.00 до 16.00<br />Вихідний - Неділя</p>;Телефон: (05636) 7-46-75, (05636) 7-46-86
